perc0.1
ENSG00000227232.5
ENSG00000268903.1
ENSG00000241860.6
ENSG00000278757.1
ENSG00000230021.10
ENSG00000237973.1
ENSG00000248527.1
ENSG00000187634.11
ENSG00000188290.10
ENSG00000217801.9
ENSG00000162571.13
ENSG00000169962.4
ENSG00000162576.16
ENSG00000179403.11
ENSG00000215915.9
ENSG00000189409.13
ENSG00000142609.18
ENSG00000187730.8
ENSG00000177133.10
ENSG00000142611.16
ENSG00000130762.14
ENSG00000078900.14
ENSG00000116254.17
ENSG00000162426.14
ENSG00000202415.1
ENSG00000284642.1
ENSG00000272078.1
ENSG00000226849.1
ENSG00000204624.7
ENSG00000215910.7
ENSG00000263676.1
ENSG00000171729.13
ENSG00000142627.12
ENSG00000206652.1
ENSG00000268869.5
ENSG00000207005.1
ENSG00000179023.8
ENSG00000009709.11
ENSG00000162482.4
ENSG00000158816.15
ENSG00000117245.12
ENSG00000189410.11
ENSG00000233072.1
ENSG00000187942.11
ENSG00000142798.19
ENSG00000283234.1
ENSG00000070886.11
ENSG00000142661.18
ENSG00000284602.1
ENSG00000158008.9
ENSG00000142684.8
ENSG00000142669.14
ENSG00000270031.1
ENSG00000252947.1
ENSG00000240750.3
ENSG00000228589.3
ENSG00000200087.1
ENSG00000277958.1
ENSG00000253304.1
ENSG00000060656.19
ENSG00000162510.5
ENSG00000229447.2
ENSG00000084636.17
ENSG00000134668.12
ENSG00000162526.6
ENSG00000276645.1
ENSG00000121904.17
ENSG00000243749.1
ENSG00000116885.18
ENSG00000163873.9
ENSG00000183317.16
ENSG00000197982.13
ENSG00000228477.1
ENSG00000260920.2
ENSG00000237899.1
ENSG00000117013.15
ENSG00000274386.5
ENSG00000243710.7
ENSG00000066056.13
ENSG00000236200.5
ENSG00000117411.16
ENSG00000199377.1
ENSG00000200913.1
ENSG00000225779.1
ENSG00000142973.13
ENSG00000235105.1
ENSG00000186094.16
ENSG00000227070.1
ENSG00000228929.1
ENSG00000184313.19
ENSG00000199831.1
ENSG00000260971.4
ENSG00000134716.10
ENSG00000226476.3
ENSG00000237852.1
ENSG00000221203.1
ENSG00000024526.16
ENSG00000178965.13
ENSG00000226415.1
ENSG00000232015.2
ENSG00000223653.5
ENSG00000232882.1
ENSG00000162669.15
ENSG00000223787.2
ENSG00000228502.1
ENSG00000137970.7
ENSG00000212248.1
ENSG00000162692.11
ENSG00000183298.5
ENSG00000134248.13
ENSG00000272982.1
ENSG00000228217.1
ENSG00000260941.1
ENSG00000281741.2
ENSG00000206737.1
ENSG00000277918.1
ENSG00000276216.1
ENSG00000213240.8
ENSG00000273768.1
ENSG00000237188.4
ENSG00000198658.4
ENSG00000201183.1
ENSG00000284842.1
ENSG00000270882.2
ENSG00000203812.2
ENSG00000272196.2
ENSG00000270276.2
ENSG00000266187.2
ENSG00000143401.14
ENSG00000259357.2
ENSG00000265753.2
ENSG00000227045.1
ENSG00000229021.2
ENSG00000163191.5
ENSG00000159450.12
ENSG00000237975.6
ENSG00000163220.10
ENSG00000163221.8
ENSG00000196154.11
ENSG00000143543.14
ENSG00000143545.8
ENSG00000177954.12
ENSG00000228013.1
ENSG00000179085.7
ENSG00000277817.1
ENSG00000132692.18
ENSG00000027644.4
ENSG00000183853.17
ENSG00000243284.1
ENSG00000085552.16
ENSG00000018625.14
ENSG00000227741.1
ENSG00000143256.4
ENSG00000158869.10
ENSG00000206921.1
ENSG00000188859.6
ENSG00000215835.2
ENSG00000227722.2
ENSG00000234604.2
ENSG00000239494.2
ENSG00000227373.5
ENSG00000116147.16
ENSG00000152092.15
ENSG00000213058.3
ENSG00000121446.19
ENSG00000276839.1
ENSG00000207975.1
ENSG00000081248.10
ENSG00000226862.1
ENSG00000235449.2
ENSG00000143845.14
ENSG00000184144.11
ENSG00000201944.1
ENSG00000224114.1
ENSG00000136634.6
ENSG00000236809.2
ENSG00000220749.4
ENSG00000117707.15
ENSG00000152104.11
ENSG00000215817.6
ENSG00000218283.2
ENSG00000257551.1
ENSG00000266618.1
ENSG00000203685.9
ENSG00000177614.10
ENSG00000270106.6
ENSG00000235605.1
ENSG00000207181.1
ENSG00000263439.1
ENSG00000077522.12
ENSG00000155816.19
ENSG00000214837.8
ENSG00000162849.15
ENSG00000202184.1
ENSG00000237492.1
ENSG00000233084.2
ENSG00000189292.15
ENSG00000228643.1
ENSG00000115705.21
ENSG00000118004.17
ENSG00000188765.7
ENSG00000206633.1
ENSG00000239899.3
ENSG00000283031.1
ENSG00000206732.1
ENSG00000084710.13
ENSG00000221445.3
ENSG00000199872.1
ENSG00000214465.3
ENSG00000115155.17
ENSG00000221843.4
ENSG00000270210.1
ENSG00000265145.1
ENSG00000171094.17
ENSG00000237007.4
ENSG00000230876.7
ENSG00000213553.4
ENSG00000143921.7
ENSG00000230979.3
ENSG00000270898.5
ENSG00000200086.1
ENSG00000231043.3
ENSG00000273302.1
ENSG00000237162.1
ENSG00000270437.1
ENSG00000283222.1
ENSG00000236148.5
ENSG00000207016.1
ENSG00000233060.1
ENSG00000204872.4
ENSG00000235499.1
ENSG00000224646.2
ENSG00000200488.1
ENSG00000034510.5
ENSG00000229648.1
ENSG00000118640.10
ENSG00000203363.2
ENSG00000208772.1
ENSG00000285793.1
ENSG00000211592.8
ENSG00000211595.2
ENSG00000240671.4
ENSG00000241755.1
ENSG00000240864.3
ENSG00000240382.3
ENSG00000244575.3
ENSG00000229089.8
ENSG00000259848.8
ENSG00000155066.15
